subgroup_column,subgroup,n_test,recall,positive_rate,base_rate,dataset,condition,rate,seed,rule_set
age_band,60+,273,0.7155172413793104,0.5201465201465202,0.4249084249084249,bank_marketing_full,repair,0.2,20260803,census_informed
marital,single,3226,0.6722689075630253,0.15468071915685058,0.14755114693118412,bank_marketing_full,clean,0.2,20260804,census_informed
marital,married,6769,0.5687943262411348,0.10267395479391343,0.10415127788447333,bank_marketing_full,clean,0.2,20260804,census_informed
marital,divorced,1308,0.5957446808510638,0.09785932721712538,0.10779816513761468,bank_marketing_full,clean,0.2,20260804,census_informed
age_band,30-44,5936,0.6017543859649123,0.09568733153638814,0.09602425876010781,bank_marketing_full,clean,0.2,20260804,census_informed
age_band,45-59,3395,0.5403899721448467,0.09425625920471281,0.10574374079528719,bank_marketing_full,clean,0.2,20260804,census_informed
age_band,<30,1699,0.6534296028880866,0.16715715126545028,0.16303708063566805,bank_marketing_full,clean,0.2,20260804,census_informed
age_band,60+,273,0.75,0.5494505494505495,0.4249084249084249,bank_marketing_full,clean,0.2,20260804,census_informed
marital,single,3226,0.6428571428571429,0.15406075635461872,0.14755114693118412,bank_marketing_full,corrupted,0.2,20260804,census_informed
marital,married,6769,0.5758865248226951,0.10193529324863347,0.10415127788447333,bank_marketing_full,corrupted,0.2,20260804,census_informed
marital,divorced,1308,0.5815602836879432,0.10321100917431193,0.10779816513761468,bank_marketing_full,corrupted,0.2,20260804,census_informed
