condition,model,seed,roc_auc,pr_auc,brier,n_train,status,dataset,rate,rule_set
quarantine,logreg,20260803,0.5445713916070671,0.13541565366108635,0.12986262957050637,359,ok,diabetes_130us,0.1,naive
quarantine,hgb,20260803,0.5364239991147254,0.12824610597841443,0.1410800404146406,359,ok,diabetes_130us,0.1,naive
repair,logreg,20260803,0.6706121577187016,0.21920283541283792,0.09488851472786153,76324,ok,diabetes_130us,0.1,naive
repair,hgb,20260803,0.6716211507644618,0.2192008511416442,0.09481262368678638,76324,ok,diabetes_130us,0.1,naive
clean,logreg,20260804,0.6710835078686481,0.22021639547528227,0.09471164419684215,76324,ok,diabetes_130us,0.1,naive
clean,hgb,20260804,0.6810637529732195,0.22999632587116553,0.09396931193123664,76324,ok,diabetes_130us,0.1,naive
corrupted,logreg,20260804,0.6704767437988115,0.21939636647495908,0.09484598549268053,76324,ok,diabetes_130us,0.1,naive
corrupted,hgb,20260804,0.6805556488408736,0.22979010476672868,0.09423198783063963,76324,ok,diabetes_130us,0.1,naive
quarantine,logreg,20260804,0.5593651461322601,0.14278603721576985,0.11240993766074388,348,ok,diabetes_130us,0.1,naive
quarantine,hgb,20260804,0.5152069699575893,0.11680104132996072,0.12228850173236992,348,ok,diabetes_130us,0.1,naive
repair,logreg,20260804,0.6709154774191153,0.21883728503511668,0.09498833848485536,76324,ok,diabetes_130us,0.1,naive
repair,hgb,20260804,0.6704038046363687,0.21966358490397583,0.09485810843747694,76324,ok,diabetes_130us,0.1,naive
clean,logreg,20260805,0.6710835078686481,0.22021639547528227,0.09471164419684215,76324,ok,diabetes_130us,0.1,naive
clean,hgb,20260805,0.6809782534080573,0.23183903841902964,0.09391653344074583,76324,ok,diabetes_130us,0.1,naive
corrupted,logreg,20260805,0.6707066646198092,0.21965219760498014,0.09490360629745251,76324,ok,diabetes_130us,0.1,naive
corrupted,hgb,20260805,0.6810266795264828,0.23663842937817522,0.09404361730632992,76324,ok,diabetes_130us,0.1,naive
quarantine,logreg,20260805,0.5039370083648387,0.12363412412425243,0.1184488852810026,386,ok,diabetes_130us,0.1,naive
quarantine,hgb,20260805,0.5317742346464309,0.12729241128285318,0.12275134519979389,386,ok,diabetes_130us,0.1,naive
repair,logreg,20260805,0.6711231292382691,0.2194090438998254,0.09486601919326589,76324,ok,diabetes_130us,0.1,naive
repair,hgb,20260805,0.6752796641454282,0.22582090953789113,0.09475653213610638,76324,ok,diabetes_130us,0.1,naive
clean,logreg,20260806,0.6710835078686481,0.22021639547528227,0.09471164419684215,76324,ok,diabetes_130us,0.1,naive
clean,hgb,20260806,0.6813541304720715,0.22950555764166364,0.09404821873493463,76324,ok,diabetes_130us,0.1,naive
corrupted,logreg,20260806,0.6703386884542799,0.2194889641731172,0.0949629088308929,76324,ok,diabetes_130us,0.1,naive
corrupted,hgb,20260806,0.6786880213667722,0.22576309155865204,0.09447729978295706,76324,ok,diabetes_130us,0.1,naive
quarantine,logreg,20260806,0.5520639211672972,0.1428356068715775,0.11552136187833033,381,ok,diabetes_130us,0.1,naive
quarantine,hgb,20260806,0.5177521734989933,0.11930569098096427,0.11747082510157789,381,ok,diabetes_130us,0.1,naive
repair,logreg,20260806,0.6710173164163513,0.21934756333861216,0.09498009617719946,76324,ok,diabetes_130us,0.1,naive
repair,hgb,20260806,0.6760290495622738,0.22680329777803343,0.09475800706609146,76324,ok,diabetes_130us,0.1,naive
clean,logreg,20260807,0.6710835078686481,0.22021639547528227,0.09471164419684215,76324,ok,diabetes_130us,0.1,naive
clean,hgb,20260807,0.6809797650197988,0.23327776046708348,0.09389486207482263,76324,ok,diabetes_130us,0.1,naive
corrupted,logreg,20260807,0.6708157344196036,0.21912843344110602,0.09493629439424049,76324,ok,diabetes_130us,0.1,naive
corrupted,hgb,20260807,0.678063468587625,0.23004392260180162,0.09437170885309983,76324,ok,diabetes_130us,0.1,naive
quarantine,logreg,20260807,0.5569851991549248,0.14456373010200335,0.10840386314117992,360,ok,diabetes_130us,0.1,naive
quarantine,hgb,20260807,0.5174541054806101,0.11659356937186181,0.12281817868765652,360,ok,diabetes_130us,0.1,naive
repair,logreg,20260807,0.6709041169556133,0.21881744742910497,0.09494154500852381,76324,ok,diabetes_130us,0.1,naive
repair,hgb,20260807,0.675662959015515,0.2228223805498401,0.09475953685480579,76324,ok,diabetes_130us,0.1,naive
clean,logreg,20260803,0.6710835078686481,0.22021639547528227,0.09471164419684215,76324,ok,diabetes_130us,0.2,naive
clean,hgb,20260803,0.6797893551895977,0.23046767674384105,0.09398754777395674,76324,ok,diabetes_130us,0.2,naive
corrupted,logreg,20260803,0.6700245225500292,0.21946529668197434,0.09555609065849625,76324,ok,diabetes_130us,0.2,naive
corrupted,hgb,20260803,0.677248935821438,0.22818066389314795,0.09508726583981253,76324,ok,diabetes_130us,0.2,naive
quarantine,logreg,20260803,0.4655062433694592,0.10691566614819907,0.12418747248304639,160,ok,diabetes_130us,0.2,naive
