dataset,tool,rate,seed,status,seconds,precision,recall,f1,n_detected
online_retail_ii,GreatExpectations,0.05,20260803,ok,17.647,1.0,0.317038,0.48144,144924
online_retail_ii,SodaCore/DuckDB,0.05,20260803,ok,4.67,1.0,0.49006,0.657772,445408
online_retail_ii,PyDeequ,0.05,20260803,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.05,20260804,ok,2.347,1.0,0.489669,0.65742,445369
online_retail_ii,Pandera,0.05,20260804,ok,32.339,1.0,0.489669,0.65742,422464
online_retail_ii,GreatExpectations,0.05,20260804,ok,17.897,1.0,0.316535,0.48086,144687
online_retail_ii,SodaCore/DuckDB,0.05,20260804,ok,3.951,1.0,0.489669,0.65742,445369
online_retail_ii,PyDeequ,0.05,20260804,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.05,20260805,ok,2.404,1.0,0.489861,0.657593,445552
online_retail_ii,Pandera,0.05,20260805,ok,32.361,1.0,0.489861,0.657593,422608
online_retail_ii,GreatExpectations,0.05,20260805,ok,17.604,1.0,0.316949,0.481338,144855
online_retail_ii,SodaCore/DuckDB,0.05,20260805,ok,3.126,1.0,0.489861,0.657593,445552
online_retail_ii,PyDeequ,0.05,20260805,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.05,20260806,ok,2.493,1.0,0.489625,0.65738,445207
online_retail_ii,Pandera,0.05,20260806,ok,32.329,1.0,0.489625,0.65738,422371
online_retail_ii,GreatExpectations,0.05,20260806,ok,17.92,1.0,0.316647,0.48099,144568
online_retail_ii,SodaCore/DuckDB,0.05,20260806,ok,2.736,1.0,0.489625,0.65738,445207
online_retail_ii,PyDeequ,0.05,20260806,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.05,20260807,ok,2.414,1.0,0.489872,0.657602,445516
online_retail_ii,Pandera,0.05,20260807,ok,32.003,1.0,0.489872,0.657602,422579
online_retail_ii,GreatExpectations,0.05,20260807,ok,17.531,1.0,0.316723,0.481078,144657
online_retail_ii,SodaCore/DuckDB,0.05,20260807,ok,2.644,1.0,0.489872,0.657602,445516
